[198125.187, 299]
[198024.1001, 341]
[199474.8434, 286]
[194612.2724, 503]
[200357.69835, 360]
[199180.403, 344]
[199813.54242, 336]
[199505.5381, 519]
[197245.8217, 562]
[197716.474, 441]
[199261.38213, 304]
[196670.1349, 310]
[199068.481, 347]
[198017.1436, 414]
[199511.0607, 335]
[198255.46483, 483]
[200129.27907, 497]
[205420.546, 399]
[194933.44842, 240]
[197346.8189, 392]
[191504.2115, 393]
[197571.7087, 479]
[201484.8077, 302]
[192691.6097, 273]
[202445.7468, 539]
[196153.90652, 247]
[198410.58523, 319]
[197505.797, 551]
[196016.86, 316]
[198694.9631, 329]
[203036.6654, 304]
[199826.30642, 363]
[199495.99852, 472]
[195700.97612, 320]
[204314.80271, 344]
[198689.3861, 490]
[200224.40305, 718]
[199493.95252, 490]
[200141.2487, 408]
[202921.84805, 301]
[200680.99407, 395]
[195131.79425, 254]
[199171.15442, 303]
[197917.4561, 334]
[199032.4181, 350]
[199749.4347, 395]
[195167.17163, 516]
[198157.10681, 378]
[199741.60752, 285]
[201501.36652, 446]
[201407.7326, 346]
[196626.42142, 354]
[201634.8142, 514]
[199741.60752, 288]
[195410.8283, 305]
[200019.26711, 316]
[201358.5114, 424]
[195895.19381, 364]
[199533.70633, 365]
[199071.7464, 351]
[202404.5578, 387]
[198368.4808, 376]
[198396.2138, 392]
[198054.64591, 340]
[196232.3326, 326]
[197721.4098, 309]
[197376.82082, 368]
[202416.9567, 345]
[200622.85425, 421]
[198698.41591, 334]
[193467.11722, 342]
[197541.7501, 366]
[198653.1268, 377]
[197602.94952, 400]
[198013.66472, 406]
[196460.7446, 444]
[196482.05933, 432]
[199796.41952, 305]
[196696.4743, 636]
[197716.474, 383]
[200481.5777, 468]
[196510.6056, 376]
[199570.808, 312]
[195741.7506, 302]
[202180.7993, 356]
[201859.10942, 365]
[195981.9209, 340]
[196999.0018, 359]
[204804.899, 357]
[201164.808, 398]
[201829.93247, 564]
[195068.5361, 322]
[200781.69452, 557]
[196989.40942, 592]
[202529.966, 460]
[200561.39592, 339]
[197671.35833, 476]
[202525.0887, 569]
[199575.96105, 373]
[198088.6928, 305]
[201295.18752, 373]
[198109.99252, 391]
[199731.754, 315]
[201747.5267, 404]
[198978.06312, 457]
[197880.7616, 373]
[202263.5333, 449]
