[45661.4747, 86]
[46247.0889, 97]
[46130.2355, 235]
[45842.7809, 85]
[45744.4668, 94]
[46216.7635, 113]
[45502.8371, 139]
[46477.7239, 92]
[46281.9893, 132]
[45614.7638, 129]
[46216.7635, 113]
[45835.4809, 99]
[46023.2893, 178]
[45417.5103, 119]
[45789.4943, 86]
[46033.1907, 92]
[45714.319, 96]
[44627.3057, 79]
[46477.7239, 217]
[46140.0833, 207]
[45614.7638, 205]
[45442.9423, 154]
[46033.1907, 105]
[45952.5963, 249]
[45678.8129, 82]
[45654.8696, 167]
[46157.0285, 247]
[45963.5543, 152]
[45296.7035, 349]
[45023.4054, 63]
[45874.7076, 185]
[46288.1221, 134]
[46216.7635, 120]
[45687.9681, 74]
[45157.1107, 115]
[45576.7569, 98]
[44682.994, 83]
[46247.0889, 113]
[46323.7583, 120]
[45351.4923, 131]
[46115.5697, 185]
[45938.4779, 265]
[46380.4149, 148]
[46033.1907, 114]
[45921.9477, 123]
[44587.1373, 66]
[44552.1945, 85]
[46247.0889, 199]
[46070.5005, 181]
[46104.5123, 180]
[45539.2893, 128]
[46101.7265, 159]
[46477.7239, 162]
[45385.1467, 135]
