[46123.0839, 295]
[45522.9766, 239]
[46109.2599, 214]
[46216.7635, 277]
[45661.4747, 229]
[46299.8793, 186]
[46101.7265, 221]
[45407.9208, 112]
[45827.1853, 98]
[46380.4149, 164]
[46247.0889, 92]
[46054.6933, 187]
[45604.9056, 98]
[46477.7239, 177]
[45455.0879, 93]
[45136.8346, 99]
[46033.1907, 79]
[46477.7239, 95]
[46417.9889, 122]
[46477.7239, 109]
[45893.957, 228]
[45679.7628, 188]
[46247.0889, 268]
[46477.7239, 290]
[45472.1502, 200]
[46140.0833, 246]
[45588.908, 184]
[46477.7239, 257]
[45893.957, 234]
[45915.5501, 375]
[45921.9477, 200]
[46145.1465, 240]
[46140.0833, 333]
[46477.7239, 251]
[45875.2563, 226]
[45049.7946, 89]
[45478.473, 69]
[45756.0961, 125]
[46101.7265, 110]
[45058.6581, 114]
[46216.7635, 123]
[45739.0192, 277]
[45843.4083, 190]
[45841.9337, 101]
[45093.35044, 155]
[46281.9893, 98]
[46477.7239, 128]
[45717.363, 486]
[45841.9337, 213]
[45683.7951, 339]
[45544.9917, 197]
[46477.7239, 169]
[45506.4286, 270]
[46477.7239, 245]
