[197563.449, 131]
[195068.415, 146]
[199716.01563, 234]
[199480.4516, 157]
[195377.38165, 153]
[198084.4717, 134]
[201947.17342, 133]
[196009.90452, 143]
[199127.54023, 165]
[202721.218, 191]
[198325.3968, 162]
[201906.3207, 219]
[196402.49898, 130]
[202251.3874, 216]
[199079.91512, 237]
[201632.59842, 186]
[200517.89747, 164]
[200290.58303, 177]
[199545.153, 168]
[202145.3913, 267]
[201736.756, 171]
[196354.34062, 158]
[201108.47142, 139]
[202369.157, 278]
[197638.80682, 138]
[199156.71612, 152]
[196074.8108, 133]
[200299.724, 128]
[195438.671, 171]
[196613.209, 153]
[198261.34882, 151]
[200149.5397, 178]
[197335.191, 149]
[200287.40242, 124]
[199063.3538, 183]
[197543.9623, 172]
[196513.8346, 161]
[195762.64642, 172]
[197733.5185, 309]
[195318.4326, 144]
[199788.5164, 154]
[194380.7153, 180]
[198909.4886, 150]
[200831.47765, 156]
[200932.8493, 165]
[197467.83898, 163]
[197398.79, 356]
[198310.081, 146]
[200166.0917, 219]
[199992.8981, 185]
[199859.9497, 182]
[197803.2986, 295]
[196046.1531, 188]
[199491.29082, 145]
[199375.43252, 183]
[200180.20142, 193]
[198574.43252, 162]
[199089.86911, 190]
[197082.11142, 128]
[195878.53512, 170]
[205420.546, 146]
[195094.9392, 118]
[198021.45123, 326]
[200595.04688, 222]
[202414.33547, 181]
[200425.18912, 393]
[197397.651, 146]
[205466.1257, 273]
[195245.66963, 133]
[199283.3397, 182]
[199813.54242, 153]
[199116.259, 180]
[201061.64952, 309]
[201700.6456, 323]
[196083.78002, 147]
[200325.7748, 153]
[204644.7816, 155]
[197470.95763, 132]
[196750.033, 133]
[200964.94765, 162]
[200979.3102, 142]
[196038.70542, 342]
[199399.9237, 141]
[196588.25842, 148]
[197677.26823, 148]
[199038.5987, 486]
[198201.59681, 143]
[201209.86035, 158]
[199509.8928, 410]
[197673.4707, 135]
[198567.761, 195]
[195166.63491, 176]
[203038.24005, 193]
[200107.26591, 138]
[201116.1284, 153]
[201809.32002, 140]
[195102.9914, 181]
[203882.7441, 156]
[202372.2287, 121]
[199687.3143, 146]
[196615.444, 136]
[193408.87851, 147]
[204740.178, 162]
[195190.4655, 170]
[203161.75947, 188]
