[46123.0839, 295]
[45522.9766, 239]
[46109.2599, 214]
[46216.7635, 277]
[45661.4747, 229]
[46299.8793, 186]
[46101.7265, 221]
[45407.9208, 112]
[45827.1853, 98]
[46380.4149, 164]
[46247.0889, 92]
[46054.6933, 187]
[45604.9056, 98]
[46477.7239, 177]
[45455.0879, 93]
[45136.8346, 99]
[46033.1907, 79]
[46477.7239, 95]
[46417.9889, 122]
[46477.7239, 109]
[45893.957, 228]
[45679.7628, 188]
[46247.0889, 268]
[46477.7239, 290]
[45472.1502, 200]
[46140.0833, 246]
[45588.908, 184]
[46477.7239, 257]
[45893.957, 234]
[45915.5501, 375]
[45921.9477, 200]
[46145.1465, 240]
[46140.0833, 333]
[46477.7239, 251]
[45875.2563, 226]
[45049.7946, 89]
[45478.473, 69]
[45756.0961, 125]
[46101.7265, 110]
[45058.6581, 114]
[46216.7635, 123]
[45739.0192, 277]
[45843.4083, 190]
[45841.9337, 101]
[45093.35044, 155]
[46281.9893, 98]
[46477.7239, 128]
[45717.363, 486]
[45841.9337, 213]
[45683.7951, 339]
[45544.9917, 197]
[46477.7239, 169]
[45506.4286, 270]
[46477.7239, 245]
[45455.0879, 170]
[45871.5523, 306]
[45758.5857, 314]
[46130.2355, 158]
[46477.7239, 255]
[45906.6529, 290]
[46077.9269, 500]
[46216.7635, 233]
[44422.0606, 246]
[45502.8371, 238]
[46336.7309, 273]
[46104.5123, 285]
[45164.507, 248]
[45917.0253, 271]
[46359.3293, 205]
[45935.8817, 417]
[45661.4747, 231]
[45930.2939, 204]
[46104.5123, 279]
[45993.6399, 352]
[45497.1853, 408]
[46216.7635, 186]
[45893.957, 248]
[45225.6159, 199]
[45075.5835, 225]
[45614.985, 254]
[45588.1751, 320]
[45881.3891, 189]
[46477.7239, 224]
[46336.7309, 280]
[45290.9486, 179]
[46216.7635, 368]
[45498.0812, 167]
[45890.8039, 364]
[45879.2251, 195]
[46033.1907, 210]
[45557.8162, 213]
[46336.7309, 275]
[45790.9269, 268]
[46130.2355, 302]
[45502.6773, 180]
[46247.0889, 267]
[46033.1907, 236]
[46216.7635, 252]
[45921.9477, 226]
[45732.0083, 188]
[45654.8696, 143]
[45861.7401, 279]
[45616.0503, 453]
